quarter, time, brightness, error
2.2,  55036.577546, 0.998989582, 5.3168e-05 
2.2,  55036.597980000006, 0.999310076, 5.3217e-05 
2.2,  55036.618414000004, 0.999479175, 5.3166e-05 
2.2,  55036.638848, 1.000193477, 5.3228e-05 
2.2,  55036.659282, 1.000524759, 5.3264e-05 
2.2,  55036.679715000006, 1.000753999, 5.3203e-05 
2.2,  55036.700149000004, 1.000708342, 5.3223e-05 
2.2,  55036.720583, 1.000792384, 5.3235e-05 
2.2,  55036.741017, 1.000699282, 5.3246e-05 
2.2,  55036.761451000006, 1.000667691, 5.3177e-05 
2.2,  55036.781885000004, 1.00023222, 5.3194e-05 
2.2,  55036.802319, 1.000195265, 5.3211e-05 
2.2,  55036.822753, 1.000159025, 5.3252e-05 
2.2,  55036.843186000006, 1.000519633, 5.3242e-05 
2.2,  55036.863620000004, 1.000530124, 5.316e-05 
2.2,  55036.884054, 1.000941277, 5.3157e-05 
2.2,  55036.904488, 1.000757694, 5.3258e-05 
2.2,  55036.924922000006, 1.000509262, 5.3176e-05 
2.2,  55036.945356000004, 1.000273705, 5.3155e-05 
2.2,  55036.96579, 1.000005722, 5.3157e-05 
2.2,  55036.986223, 0.999819279, 5.3108e-05 
2.2,  55037.006657000005, 0.99962312, 5.3229e-05 
2.2,  55037.027091, 0.999690413, 5.3178e-05 
2.2,  55037.047525, 0.999920845, 5.3223e-05 
2.2,  55037.067959, 1.000020742, 5.3208e-05 
2.2,  55037.088393000005, 1.000068545, 5.3195e-05 
2.2,  55037.108827000004, 0.999989986, 5.3224e-05 
2.2,  55037.129261, 1.000111699, 5.3238e-05 
2.2,  55037.149694, 1.000274181, 5.3212e-05 
2.2,  55037.170128000005, 1.000609517, 5.3155e-05 
2.2,  55037.190562, 1.000362039, 5.3208e-05 
2.2,  55037.210996, 1.00038588, 5.3252e-05 
2.2,  55037.23143, 1.000441551, 5.3183e-05 
2.2,  55037.251864000005, 1.000712395, 5.3212e-05 
2.2,  55037.272298, 1.000729799, 5.3233e-05 
2.2,  55037.292731, 1.000508308, 5.3225e-05 
2.2,  55037.313165, 1.000320792, 5.3253e-05 
2.2,  55037.333599000005, 1.000325441, 5.3218e-05 
2.2,  55037.354033, 1.00024128, 5.3215e-05 
2.2,  55037.374467, 1.000083923, 5.3246e-05 
2.2,  55037.394901, 1.000248313, 5.3094e-05 
2.2,  55037.415335000005, 1.000364065, 5.3194e-05 
2.2,  55037.435768, 1.00009191, 5.317e-05 
2.2,  55037.456202, 0.999863625, 5.311e-05 
2.2,  55037.476636, 0.999558866, 5.3197e-05 
2.2,  55037.497070000005, 0.999470294, 5.3237e-05 
2.2,  55037.517504, 0.998952031, 5.3251e-05 
2.2,  55037.537938, 0.99894762, 5.3236e-05 
2.2,  55037.558372, 0.999079525, 5.3187e-05 
2.2,  55037.578805000005, 0.999383926, 5.3206e-05 
2.2,  55037.599239, 0.999514639, 5.317e-05 
2.2,  55037.619673, 0.999562383, 5.3209e-05 
2.2,  55037.64010700001, 0.99934727, 5.3269e-05 
2.2,  55037.660541000005, 0.999517798, 5.3222e-05 
2.2,  55037.680975, 0.999347448, 5.3274e-05 
2.2,  55037.701409, 0.999452233, 5.3219e-05 
2.2,  55037.721842000006, 1.000024438, 5.3229e-05 
2.2,  55037.742276000004, 1.000218868, 5.3174e-05 
2.2,  55037.76271, 1.000374198, 5.3214e-05 
2.2,  55037.783144, 1.000238061, 5.3195e-05 
2.2,  55037.80357800001, 1.000312328, 5.3243e-05 
2.2,  55037.824012000005, 1.000361323, 5.3159e-05 
2.2,  55037.844446, 1.000279546, 5.3196e-05 
2.2,  55037.864879, 0.999942422, 5.3273e-05 
2.2,  55037.885313000006, 0.99975872, 5.3205e-05 
2.2,  55037.905747000004, 0.999332011, 5.3279e-05 
2.2,  55037.926181, 0.999349296, 5.3243e-05 
2.2,  55037.946615, 0.999314368, 5.3229e-05 
2.2,  55037.967049000006, 0.999668539, 5.325e-05 
2.2,  55037.987483000004, 1.000108123, 5.323e-05 
2.2,  55038.007916, 1.000591636, 5.3238e-05 
2.2,  55038.02835, 1.000418544, 5.3215e-05 
2.2,  55038.048784000006, 1.000126123, 5.3271e-05 
2.2,  55038.069218000004, 0.999860823, 5.327e-05 
2.2,  55038.089652, 0.999417007, 5.3117e-05 
2.2,  55038.110086, 0.999594688, 5.3246e-05 
2.2,  55038.130519000006, 1.000053167, 5.318e-05 
2.2,  55038.150953000004, 1.000422478, 5.3202e-05 
2.2,  55038.171387, 1.000521183, 5.3257e-05 
2.2,  55038.191821, 1.000663638, 5.3272e-05 
2.2,  55038.212255000006, 1.000316739, 5.3142e-05 
2.2,  55038.232689000004, 0.999766827, 5.3248e-05 
2.2,  55038.253123, 0.999101043, 5.3261e-05 
2.2,  55038.273556, 0.998622477, 5.3217e-05 
2.2,  55038.293990000006, 0.99835515, 5.329e-05 
